abbreviation,lat,lon,,CTSA (parent award),City,State,Hub_Zip,Zip+4
Worcester01655,42.2717,-71.7588,,UNIV OF MASSACHUSETTS MED SCH WORCESTER,Worcester,MA,1655,01655-0002
Boston02111,42.351,-71.061,,TUFTS UNIVERSITY BOSTON,Boston,MA,2111,02111-1901
Piscataway08901,40.4891,-74.4485,,RUTGERS BIOMEDICAL/HEALTH SCIENCES-RBHS,Piscataway,NJ,8901,08901-1281
NewYork10029,40.789731,-73.952693,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,New York,NY,10029,10029-6574
Washington20010,38.927409,-77.01419,,CHILDREN'S RESEARCH INSTITUTE,Washington,DC,20010,20010-2916
Boston02118,42.3398,-71.0735,,BOSTON UNIVERSITY MEDICAL CAMPUS,Boston,MA,2118,02118-2340
Boston02120,42.3331,-71.0964,,HARVARD MEDICAL SCHOOL,Boston,MA,2120,02120-1621
NewHaven06520,41.3064,-72.931,,YALE UNIVERSITY,New Haven,CT,6520,06520-8327
NewYork10016,40.74207,-73.974336,,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,New York,NY,10016,10016-0000
NewYork10032,40.841097,-73.941197,,COLUMBIA UNIVERSITY HEALTH SCIENCES,New York,NY,10032,10032-3726
NewYork10065,40.762912,-73.955829,,ROCKEFELLER UNIVERSITY,New York,NY,10065,10065-6399
NewYork10065,40.764991,-73.95479,,WEILL MEDICAL COLL OF CORNELL UNIV,New York,NY,10065,10065-4805
Bronx10461,40.851185,-73.845807,,ALBERT EINSTEIN COLLEGE OF MEDICINE,Bronx,NY,10461,10461-1900
Amherst14228,43.00,-78.78,,STATE UNIVERSITY OF NEW YORK AT BUFFALO,Amherst,NY,14228,14228-2567
Rochester14627,43.1319,-77.6239,,UNIVERSITY OF ROCHESTER,Rochester,NY,14627,14627-0140
Pittsburgh15213,40.442814,-79.96097,,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,PA,15213,15213-3320
Hershey17033,40.2746,-76.6433,,PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Hershey,PA,17033,17033-2360
Philadelphia19104,39.947883,-75.192598,,UNIVERSITY OF PENNSYLVANIA,Philadelphia,PA,19104,19104-6205
Washington20057,38.906424,-77.072226,,GEORGETOWN UNIVERSITY,Washington,DC,20057,20057-0001
Baltimore21218,39.3262,-76.6096,,JOHNS HOPKINS UNIVERSITY,Baltimore,MD,21218,21218-2681
Charlottesville22904,38.051999,-78.504176,,UNIVERSITY OF VIRGINIA,Charlottesville,VA,22904,22904-4195
Richmond23298,37.53995,-77.4296,,VIRGINIA COMMONWEALTH UNIVERSITY,Richmond,VA,23298,23298-0568
WinstonSalem27157,36.089587,-80.268579,,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Winston Salem,NC,27157,27157-0001
ChapelHill27599,35.923672,-79.054867,,UNIV OF NORTH CAROLINA CHAPEL HILL,Chapel Hill,NC,27599,27599-5023
Durham27705,36.0206,-78.9582,,DUKE UNIVERSITY,Durham,NC,27705,27705-4673
Charleston29407,32.7986,-80.0053,,MEDICAL UNIVERSITY OF SOUTH CAROLINA,Charleston,SC,29407,29407-4636
Atlanta30322,33.78949,-84.326772,,EMORY UNIVERSITY,Atlanta,GA,30322,30322-1009
Gainesville32611,29.6102,-82.3682,,UNIVERSITY OF FLORIDA,Gainesville,FL,32611,32611-5500
CoralGables33146,25.7213,-80.2712,,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Coral Gables,FL,33146,33146-2926
Birmingham35294,33.509571,-86.806725,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,Birmingham,AL,35294,35294-0001
Nashville37232,36.140924,-86.801634,,VANDERBILT UNIVERSITY MEDICAL CENTER,Nashville,TN,37232,37232-0012
Lexington40526,38.0392,-84.5065,,UNIVERSITY OF KENTUCKY,Lexington,KY,40526,40526-0001
Columbus43210,39.999063,-83.033839,,OHIO STATE UNIVERSITY,Columbus,OH,43210,43210-1016
Cleveland44106,41.504607,-81.611,,CASE WESTERN RESERVE UNIVERSITY,Cleveland,OH,44106,44106-1713
Cincinnati45221,39.1324,-84.5097,,UNIVERSITY OF CINCINNATI,Cincinnati,OH,45221,45221-0001
Bloomington46202,39.7821,-86.1606,,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,Bloomington,IN,46202,46202-2922
AnnArbor48109,42.276238,-83.7407,,UNIVERSITY OF MICHIGAN AT ANN ARBOR,Ann Arbor,MI,48109,48109-1276
IowaCity52242,41.658196,-91.548811,,UNIVERSITY OF IOWA,Iowa City,IA,52242,52242-1320
Milwaukee53226,43.044469,-88.022478,,MEDICAL COLLEGE OF WISCONSIN,Milwaukee,WI,53226,53226-3548
Madison53715,43.0592,-89.4009,,UNIVERSITY OF WISCONSIN-MADISON,Madison,WI,53715,53715-1218
Minneapolis55455,44.972907,-93.228011,,UNIVERSITY OF MINNESOTA,Minneapolis,MN,55455,55455-2071
Rochester55905,44.02263,-92.466712,,MAYO CLINIC ROCHESTER,Rochester,MN,55905,55905-0002
Chicago60611,41.8952,-87.6223,,NORTHWESTERN UNIVERSITY AT CHICAGO,Chicago,IL,60611,60611-4579
Chicago60612,41.8817,-87.6926,,UNIVERSITY OF ILLINOIS AT CHICAGO,Chicago,IL,60612,60612-4305
Chicago60637,41.789564,-87.600913,,UNIVERSITY OF CHICAGO,Chicago,IL,60637,60637-2612
SaintLouis63130,38.648071,-90.303947,,WASHINGTON UNIVERSITY,Saint Louis,MO,63130,63130-4862
KansasCity66160,39.056097,-94.610158,,UNIVERSITY OF KANSAS MEDICAL CENTER,Kansas City,KS,66160,66160-8500
LittleRock72205,34.749189,-92.321977,,UNIV OF ARKANSAS FOR MED SCIS,Little Rock,AR,72205,72205-7101
Dallas75390,32.818036,-96.845835,,UT SOUTHWESTERN MEDICAL CENTER,Dallas,TX,75390,75390-9105
Houston77030,29.703211,-95.403154,,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,Houston,TX,77030,77030-5401
Galveston77555,29.311167,-94.775764,,UNIVERSITY OF TEXAS MED BR GALVESTON,Galveston,TX,77555,77555-5302
SanAntonio78229,29.507019,-98.576358,,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,San Antonio,TX,78229,78229-3901
Aurora80045,39.7503,-104.8367,,UNIVERSITY OF COLORADO DENVER,Aurora,CO,80045,80045-2570
SaltLakeCity84112,40.765023,-111.848931,,UNIVERSITY OF UTAH,Salt Lake City,UT,84112,84112-8906
Albuquerque87131,35.08915,-106.617589,,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,Albuquerque,NM,87131,87131-0001
LosAngeles90089,34.0225,-118.29,,UNIVERSITY OF SOUTHERN CALIFORNIA,Los Angeles,CA,90089,90089-4304
LosAngeles90095,34.065894,-118.443361,,UNIVERSITY OF CALIFORNIA LOS ANGELES,Los Angeles,CA,90095,90095-2000
LaJolla92037,32.895932,-117.242428,,SCRIPPS RESEARCH INSTITUTE,La Jolla,CA,92037,92037-1000
LaJolla92093,32.875175,-117.23589,,UNIVERSITY OF CALIFORNIA SAN DIEGO,La Jolla,CA,92093,92093-0621
Irvine92697,33.6485,-117.8405,,UNIVERSITY OF CALIFORNIA-IRVINE,Irvine,CA,92697,92697-0001
SanFrancisco94143,37.767417,-122.390322,,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,San Francisco,CA,94143,94143-2510
RedwoodCity94305,37.42,-122.17,,STANFORD UNIVERSITY,Redwood City,CA,94305,94305-2004
Davis95618,38.5189,-121.6511,,UNIVERSITY OF CALIFORNIA AT DAVIS,Davis,CA,95618,95618-6153
Portland97239,45.500037,-122.687268,,OREGON HEALTH & SCIENCE UNIVERSITY,Portland,OR,97239,97239-3098
Seattle98195,47.6509,-122.3084,,UNIVERSITY OF WASHINGTON,Seattle,WA,98195,98195-9472
